f_menu,f_name,f_topic,f_ctype,f_buyers,anchor_n2,rank,rec_menu,rec_name,rec_topic,rec_ctype,rec_price,conf_pct,lift,pair_n,same_menu
23878,내 운명 지금 어디 있을까?,연애,사주,1058,867,4,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,3.1,1.45,27,0
23878,내 운명 지금 어디 있을까?,연애,사주,1058,867,5,33646,(미상:33646),연애,사주,,3.1,4.63,27,0
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,984,710,1,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,4.1,2.3,29,0
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,984,710,2,20183,내 운명의 상대(추천 할인),연애,사주,15000.0,3.2,37.13,23,0
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,984,710,3,20054,반드시 잡아야 할 내 인생의 귀인은? (추천할인),일반운세,사주,15000.0,3.1,47.86,22,0
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,984,710,4,20249,(추천할인) 인생 피는 필승 개운법: 일주풀이,일반운세,사주,18000.0,3.1,68.8,22,0
453,내 인생 황금기와 암흑기: 사주팔자 풀이,일반운세,사주,984,710,5,33556,(미상:33556),총운,사주,,2.8,8.7,20,0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,952,604,1,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,6.1,3.12,37,0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,952,604,2,42952,내 사주에 쓰인 운명의 배우자,연애,사주,18000.0,5.1,2.99,31,0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,952,604,3,2166,그 사람과 나의 사주 궁합,연애,사주,21000.0,3.8,3.09,23,0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,952,604,4,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,3.8,2.15,23,0
30875,내 사주 배우자 궁(宮)에 있는 사람은?,연애,사주,952,604,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애,사주,18000.0,3.3,2.66,20,0
40510,(미상:40510),연애,사주,815,668,1,41402,(미상:41402),연애,사주,,9.1,10.76,61,0
40510,(미상:40510),연애,사주,815,668,2,2505,지금 날 좋아하는 사람은?,연애,타로,1500.0,8.4,3.9,56,0
40510,(미상:40510),연애,사주,815,668,3,2141,그 사람의 속마음,연애,타로,1500.0,6.0,1.16,40,0
40510,(미상:40510),연애,사주,815,668,4,23882,(추천할인) 내 운명 지금 어디 있을까?,연애,사주,18000.0,4.8,46.0,32,0
40510,(미상:40510),연애,사주,815,668,5,21964,내 사주에 연애 상대 몇 명 있을까?,연애,사주,24000.0,4.3,2.45,29,0
2142,재회확률 높이는 법,연애,타로,810,653,1,400,다시 만날 수 있을까,연애,타로,1500.0,21.9,5.37,143,0
2142,재회확률 높이는 법,연애,타로,810,653,2,2142,재회확률 높이는 법,연애,타로,1500.0,9.0,4.41,59,1
2142,재회확률 높이는 법,연애,타로,810,653,3,2141,그 사람의 속마음,연애,타로,1500.0,7.8,1.52,51,0
2142,재회확률 높이는 법,연애,타로,810,653,4,18104,전연인 어떻게 지낼까 + 재회확률 높이는 법,연애,타로,3000.0,7.5,9.84,49,0
2142,재회확률 높이는 법,연애,타로,810,653,5,2236,전연인 어떻게 지낼까,연애,타로,1500.0,5.4,3.7,35,0
26805,그 사람과 나의 3가지 사주궁합,연애,사주,807,541,1,26805,그 사람과 나의 3가지 사주궁합,연애,사주,27000.0,5.9,10.48,32,1
26805,그 사람과 나의 3가지 사주궁합,연애,사주,807,541,2,2166,그 사람과 나의 사주 궁합,연애,사주,21000.0,5.7,4.64,31,0
26805,그 사람과 나의 3가지 사주궁합,연애,사주,807,541,3,27376,결혼 OX 궁합: 이 사람과 결혼해도 될까?,결혼,사주,21000.0,3.5,4.15,19,0
26805,그 사람과 나의 3가지 사주궁합,연애,사주,807,541,4,1210,우리 얼마나 오래 갈까?,연애,타로,1500.0,3.5,3.04,19,0
26805,그 사람과 나의 3가지 사주궁합,연애,사주,807,541,5,43513,2025 을사년 운세: 사랑과 인연,연애,사주,19500.0,3.1,1.6,17,0
55360,2026년 신년운세 보고서,총운,사주,795,412,1,55723,2026년 솔로 탈출 시기,연애,사주,24000.0,6.6,9.62,27,0
55360,2026년 신년운세 보고서,총운,사주,795,412,2,57670,2026 병오년 운세: 사랑과 인연,연애,사주,19500.0,3.6,7.72,15,0
55360,2026년 신년운세 보고서,총운,사주,795,412,3,44276,🪫질문권 추가 충전 (1개),기타,?,1500.0,3.2,59.0,13,0
55360,2026년 신년운세 보고서,총운,사주,795,412,4,2141,그 사람의 속마음,연애,타로,1500.0,3.2,0.61,13,0
55360,2026년 신년운세 보고서,총운,사주,795,412,5,2165,사주로 보는 재물운,재물금전,사주,1500.0,3.2,4.32,13,0
49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,789,431,1,400,다시 만날 수 있을까,연애,타로,1500.0,9.3,2.27,40,0
49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,789,431,2,47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,연애,사주,27000.0,7.7,22.86,33,0
49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,789,431,3,49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,27000.0,7.2,10.06,31,1
49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,789,431,4,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애,사주,18000.0,6.0,15.04,26,0
49816,재회 사주: 헤어져도 다시 만날 필연,연애,?,789,431,5,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애,사주,27000.0,5.3,3.39,23,0
2202,사주로 보는 직업운,학업직업,사주,771,578,1,2165,사주로 보는 재물운,재물금전,사주,1500.0,8.5,11.61,49,0
2202,사주로 보는 직업운,학업직업,사주,771,578,2,2202,사주로 보는 직업운,학업직업,사주,1500.0,7.4,5.91,43,1
2202,사주로 보는 직업운,학업직업,사주,771,578,3,537,나에게 어울리는 직업은?,학업직업,타로,1500.0,5.2,25.79,30,0
2202,사주로 보는 직업운,학업직업,사주,771,578,4,18668,사주로 보는 성격유형,자기탐구,사주,9900.0,3.6,10.8,21,0
2202,사주로 보는 직업운,학업직업,사주,771,578,5,13663,어떤 사람과 사귈 운명일까?,연애,타로,1500.0,2.6,1.5,15,0
55723,2026년 솔로 탈출 시기,연애,사주,762,497,1,44273,🔋질문권 충전 (3개),기타,?,3000.0,8.9,31.77,44,0
