anchor,anchor_name,anchor_n,rank,rec_menu,rec_name,rec_cat,pair_n,conf_pct,lift,wilson_lb_pct
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",278,1,2142,재회확률 높이는 법,연애/타로,27,9.7,4.73,6.8
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",278,2,400,다시 만날 수 있을까,연애/타로,20,7.2,1.67,4.7
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",278,3,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,20,7.2,7.81,4.7
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",278,4,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,13,4.7,2.47,2.8
47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",278,5,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,11,4.0,2.61,2.2
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,744,1,49255,내 팔자에 새겨진 천년배필,연애/사주,38,5.1,4.78,3.7
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,744,2,2141,그 사람의 속마음,연애/타로,35,4.7,0.86,3.4
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,744,3,48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,연애/타로,26,3.5,9.22,2.4
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,744,4,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,24,3.2,3.5,2.2
47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,744,5,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,22,3.0,2.11,2.0
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,214,1,47506,"재회 사주, 속마음 타로: {{이름}}님은 n일 뒤 재회합니다",연애/타로,19,8.9,14.98,5.8
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,214,2,49816,재회 사주: 헤어져도 다시 만날 필연,연애/사주,17,7.9,8.63,5.0
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,214,3,28894,재회 사주: 그 사람과 다시 만날 운명일까?,연애/사주,13,6.1,3.21,3.6
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,214,4,400,다시 만날 수 있을까,연애/타로,12,5.6,1.3,3.2
47935,재회OX궁합: 붙잡을 운명 vs 놓아줄 인연,214,5,25978,D-DAY 재회 타로: 다시 만날 수 있을까?,연애/타로,11,5.1,3.76,2.9
48332,🪡6개월 내 반드시 만나게 될: 붉은 실 인연🧶,119,1,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,11,9.2,6.11,5.2
49255,내 팔자에 새겨진 천년배필,407,1,43117,내 사주의 사랑운: 연애만? 결혼까지!,연애/사주,18,4.4,3.15,2.8
49255,내 팔자에 새겨진 천년배필,407,2,47704,삼신할매가 점지한 내 진짜 인연 VS 가짜 인연,연애/사주,18,4.4,2.92,2.8
49255,내 팔자에 새겨진 천년배필,407,3,42952,내 사주에 쓰인 운명의 배우자,연애/사주,17,4.2,2.23,2.6
49255,내 팔자에 새겨진 천년배필,407,4,52621,{{이름}}님의 3번의 결정적 결혼수💍,결혼/사주,15,3.7,14.09,2.2
49255,내 팔자에 새겨진 천년배필,407,5,2141,그 사람의 속마음,연애/타로,13,3.2,0.59,1.9
49519,임신운 풀이: 삼신할매가 점지한 우리 아가,73,1,51301,사주+타로: 임신운 심층 분석,가족자녀/타로,28,38.4,276.35,28.1
